year,month,day,sunrise,sunset,length
2011,1,1,7,16,9.4975
2011,1,2,7,16,9.5092
2011,1,3,7,16,9.5217
2011,1,4,7,16,9.5353
2011,1,5,7,17,9.5497
2011,1,6,7,17,9.5653
2011,1,7,7,17,9.5817
2011,1,8,7,17,9.5989
2011,1,9,7,17,9.6169
2011,1,10,7,17,9.6361
2011,1,11,7,17,9.6561
2011,1,12,7,17,9.6767
2011,1,13,7,17,9.6983
2011,1,14,7,17,9.7208
2011,1,15,7,17,9.7442
2011,1,16,7,17,9.7681
2011,1,17,7,17,9.7928
2011,1,18,7,17,9.8183
2011,1,19,7,17,9.8447
2011,1,20,7,17,9.8717
2011,1,21,7,17,9.8992
2011,1,22,7,17,9.9275
2011,1,23,7,17,9.9564
2011,1,24,7,17,9.9861
2011,1,25,7,17,10.0161
2011,1,26,7,17,10.0469
2011,1,27,7,17,10.0783
2011,1,28,7,17,10.1103
2011,1,29,7,17,10.1428
2011,1,30,7,17,10.1756
2011,1,31,7,17,10.2092
2011,2,1,7,17,10.2431
2011,2,2,7,17,10.2775
2011,2,3,7,17,10.3122
2011,2,4,7,17,10.3475
2011,2,5,7,17,10.3833
2011,2,6,7,17,10.4194
2011,2,7,7,17,10.4558
2011,2,8,7,17,10.4928
2011,2,9,7,17,10.53
2011,2,10,7,17,10.5675
2011,2,11,7,17,10.6053
2011,2,12,7,17,10.6433
2011,2,13,7,17,10.6817
2011,2,14,7,17,10.7206
2011,2,15,7,17,10.7594
2011,2,16,6,17,10.7986
2011,2,17,6,17,10.8381
2011,2,18,6,17,10.8778
2011,2,19,6,17,10.9178
2011,2,20,6,17,10.9578
2011,2,21,6,17,10.9981
2011,2,22,6,17,11.0386
2011,2,23,6,17,11.0792
2011,2,24,6,17,11.12
2011,2,25,6,17,11.1611
2011,2,26,6,17,11.2022
2011,2,27,6,17,11.2436
2011,2,28,6,18,11.285
2011,3,1,6,18,11.3264
2011,3,2,6,18,11.3681
2011,3,3,6,18,11.41
2011,3,4,6,18,11.4517
2011,3,5,6,18,11.4936
2011,3,6,6,18,11.5358
2011,3,7,6,18,11.5778
2011,3,8,6,18,11.62
2011,3,9,6,18,11.6622
2011,3,10,6,18,11.7044
2011,3,11,6,18,11.7469
2011,3,12,6,18,11.7892
2011,3,13,7,19,11.8317
2011,3,14,7,19,11.8742
2011,3,15,7,19,11.9167
2011,3,16,7,19,11.9589
2011,3,17,7,19,12.0014
2011,3,18,7,19,12.0439
2011,3,19,7,19,12.0864
2011,3,20,7,19,12.1289
2011,3,21,7,19,12.1714
2011,3,22,7,19,12.2139
2011,3,23,7,19,12.2564
2011,3,24,7,19,12.2989
2011,3,25,7,19,12.3411
2011,3,26,7,19,12.3836
2011,3,27,7,19,12.4258
2011,3,28,7,19,12.4681
2011,3,29,6,19,12.5106
2011,3,30,6,19,12.5525
2011,3,31,6,19,12.5947
2011,4,1,6,19,12.6367
2011,4,2,6,19,12.6789
2011,4,3,6,19,12.7206
2011,4,4,6,19,12.7625
2011,4,5,6,19,12.8042
2011,4,6,6,19,12.8458
2011,4,7,6,19,12.8872
2011,4,8,6,19,12.9286
2011,4,9,6,19,12.97
