"year","month","day","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","hour","old.year","old.month","old.day","sunrise","sunset","day.hours","is.daylight","numeric.hour","is.working.hour","day.part"
"2011","01","20","1","0","1","1",10.66,11.365,56,26.0027,"00",2011,1,20,7,17,9.8717,"0",0,"0","night"
"2011","01","20","1","0","1","1",10.66,13.635,56,0,"01",2011,1,20,7,17,9.8717,"0",1,"0","night"
"2011","01","20","1","0","1","1",10.66,13.635,56,0,"02",2011,1,20,7,17,9.8717,"0",2,"0","night"
"2011","01","20","1","0","1","1",10.66,12.88,56,11.0014,"03",2011,1,20,7,17,9.8717,"0",3,"0","night"
"2011","01","20","1","0","1","1",10.66,12.88,56,11.0014,"04",2011,1,20,7,17,9.8717,"0",4,"0","night"
"2011","01","20","1","0","1","1",9.84,11.365,60,15.0013,"05",2011,1,20,7,17,9.8717,"0",5,"0","morning"
"2011","01","20","1","0","1","1",9.02,10.605,60,15.0013,"06",2011,1,20,7,17,9.8717,"0",6,"0","morning"
"2011","01","20","1","0","1","1",9.02,10.605,55,15.0013,"07",2011,1,20,7,17,9.8717,"1",7,"0","morning"
"2011","01","20","1","0","1","1",9.02,10.605,55,19.0012,"08",2011,1,20,7,17,9.8717,"1",8,"0","morning"
"2011","01","20","1","0","1","2",9.84,11.365,52,15.0013,"09",2011,1,20,7,17,9.8717,"1",9,"1","morning"
"2011","01","20","1","0","1","1",10.66,11.365,48,19.9995,"10",2011,1,20,7,17,9.8717,"1",10,"1","morning"
"2011","01","20","1","0","1","2",11.48,13.635,45,11.0014,"11",2011,1,20,7,17,9.8717,"1",11,"1","morning"
"2011","01","20","1","0","1","2",12.3,16.665,42,0,"12",2011,1,20,7,17,9.8717,"1",12,"1","midday"
"2011","01","20","1","0","1","2",11.48,14.395,45,7.0015,"13",2011,1,20,7,17,9.8717,"1",13,"1","midday"
"2011","01","20","1","0","1","2",12.3,15.15,45,8.9981,"14",2011,1,20,7,17,9.8717,"1",14,"1","midday"
"2011","01","20","1","0","1","2",13.12,15.91,45,12.998,"15",2011,1,20,7,17,9.8717,"1",15,"1","midday"
