"count","count.1","day.part","holiday","hour","humidity","is.daylight","is.working.hour","month","season","temp","weather","windspeed","workingday","year","diff"
16,NA,"night","0","00",81,"0","0","01","1",9.84,"1",0,"0","2011",NA
40,16,"night","0","01",80,"0","0","01","1",9.02,"1",0,"0","2011",NA
32,40,"night","0","02",80,"0","0","01","1",9.02,"1",0,"0","2011",24
13,32,"night","0","03",75,"0","0","01","1",9.84,"1",0,"0","2011",-8
1,13,"night","0","04",75,"0","0","01","1",9.84,"1",0,"0","2011",-19
1,1,"morning","0","05",75,"0","0","01","1",9.84,"2",6.0032,"0","2011",-12
2,1,"morning","0","06",80,"0","0","01","1",9.02,"1",0,"0","2011",0
3,2,"morning","0","07",86,"1","0","01","1",8.2,"1",0,"0","2011",1
8,3,"morning","0","08",75,"1","0","01","1",9.84,"1",0,"0","2011",1
14,8,"morning","0","09",76,"1","0","01","1",13.12,"1",0,"0","2011",5
36,14,"morning","0","10",76,"1","0","01","1",15.58,"1",16.9979,"0","2011",6
56,36,"morning","0","11",81,"1","0","01","1",14.76,"1",19.0012,"0","2011",22
84,56,"midday","0","12",77,"1","0","01","1",17.22,"1",19.0012,"0","2011",20
94,84,"midday","0","13",72,"1","0","01","1",18.86,"2",19.9995,"0","2011",28
106,94,"midday","0","14",72,"1","0","01","1",18.86,"2",19.0012,"0","2011",10
110,106,"midday","0","15",77,"1","0","01","1",18.04,"2",19.9995,"0","2011",12
93,110,"afternoon","0","16",82,"1","0","01","1",17.22,"2",19.9995,"0","2011",4
67,93,"afternoon","0","17",82,"0","0","01","1",18.04,"2",19.0012,"0","2011",-17
35,67,"afternoon","0","18",88,"0","0","01","1",17.22,"3",16.9979,"0","2011",-26
37,35,"afternoon","0","19",88,"0","0","01","1",17.22,"3",16.9979,"0","2011",-32
36,37,"night","0","20",87,"0","0","01","1",16.4,"2",16.9979,"0","2011",2
34,36,"night","0","21",87,"0","0","01","1",16.4,"2",12.998,"0","2011",-1
28,34,"night","0","22",94,"0","0","01","1",16.4,"2",15.0013,"0","2011",-2
39,28,"night","0","23",88,"0","0","01","1",18.86,"2",19.9995,"0","2011",-6
17,39,"night","0","00",88,"0","0","01","1",18.86,"2",19.9995,"0","2011",11
17,17,"night","0","01",94,"0","0","01","1",18.04,"2",16.9979,"0","2011",-22
9,17,"night","0","02",100,"0","0","01","1",17.22,"2",19.0012,"0","2011",0
6,9,"night","0","03",94,"0","0","01","1",18.86,"2",12.998,"0","2011",-8
3,6,"night","0","04",94,"0","0","01","1",18.86,"2",12.998,"0","2011",-3
2,3,"morning","0","06",77,"0","0","01","1",17.22,"3",19.9995,"0","2011",-3
1,2,"morning","0","07",76,"1","0","01","1",16.4,"2",12.998,"0","2011",-1
8,1,"morning","0","08",71,"1","0","01","1",16.4,"3",15.0013,"0","2011",-1
20,8,"morning","0","09",76,"1","0","01","1",15.58,"2",15.0013,"0","2011",7
53,20,"morning","0","10",81,"1","0","01","1",14.76,"2",15.0013,"0","2011",12
70,53,"morning","0","11",71,"1","0","01","1",14.76,"2",16.9979,"0","2011",33
93,70,"midday","0","12",66,"1","0","01","1",14.76,"2",19.9995,"0","2011",17
75,93,"midday","0","13",66,"1","0","01","1",14.76,"2",8.9981,"0","2011",23
59,75,"midday","0","14",76,"1","0","01","1",14.76,"3",12.998,"0","2011",-18
74,59,"midday","0","15",81,"1","0","01","1",13.94,"3",11.0014,"0","2011",-16
76,74,"afternoon","0","16",71,"1","0","01","1",13.94,"3",11.0014,"0","2011",15
65,76,"afternoon","0","17",57,"0","0","01","1",13.94,"1",12.998,"0","2011",2
53,65,"afternoon","0","18",46,"0","0","01","1",14.76,"2",22.0028,"0","2011",-11
30,53,"afternoon","0","19",42,"0","0","01","1",13.12,"1",30.0026,"0","2011",-12
22,30,"night","0","20",39,"0","0","01","1",12.3,"1",23.9994,"0","2011",-23
31,22,"night","0","21",44,"0","0","01","1",10.66,"1",22.0028,"0","2011",-8
9,31,"night","0","22",44,"0","0","01","1",9.84,"1",19.9995,"0","2011",9
8,9,"night","0","23",47,"0","0","01","1",9.02,"1",11.0014,"0","2011",-22
5,8,"night","0","00",44,"0","0","01","1",9.02,"1",23.9994,"1","2011",-1
2,5,"night","0","01",44,"0","0","01","1",8.2,"1",27.9993,"1","2011",-3
1,2,"night","0","04",47,"0","0","01","1",6.56,"1",26.0027,"1","2011",-3
